"Dimensão","Critério","Cód. Evidência","Tecnologia","Tipo de Tecnologia","Avaliação consolidadora?","Cód. Avaliador","Avaliação da Evidência","NU_RESPOSTA","Cód. Critério"
"A","Manter ou adaptar a estrutura de navegação e dos c...",48360,"Agenda Digital Escola em Movimento (1304)","Digital","N",250,"P - Parcialmente adequado",1,341
"A","Manter ou adaptar a estrutura de navegação e dos c...",48360,"Agenda Digital Escola em Movimento (1304)","Digital","N",191,"A - Adequado",1,341
"A","Manter ou adaptar a estrutura de navegação e dos c...",48360,"Agenda Digital Escola em Movimento (1304)","Digital","S",522,"A - Adequado",1,341
"A","Permitir o controle do tempo de apresentação da in...",48333,"Agenda Digital Escola em Movimento (1304)","Digital","N",191,"A - Adequado",1,110
"A","Permitir o controle do tempo de apresentação da in...",48333,"Agenda Digital Escola em Movimento (1304)","Digital","N",250,"A - Adequado",1,110
"A","Permitir o controle do tempo de apresentação da in...",48333,"Agenda Digital Escola em Movimento (1304)","Digital","S",522,"A - Adequado",1,110
"A","Prover versão alternativa em texto para conteúdos ...",48287,"Agenda Digital Escola em Movimento (1304)","Digital","N",250,"A - Adequado",1,111
"A","Prover versão alternativa em texto para conteúdos ...",48287,"Agenda Digital Escola em Movimento (1304)","Digital","N",191,"A - Adequado",1,111
"A","Prover versão alternativa em texto para conteúdos ...",48287,"Agenda Digital Escola em Movimento (1304)","Digital","S",522,"A - Adequado",1,111
"A","Textos e elementos não textuais linguísticos relev...",48365,"Agenda Digital Escola em Movimento (1304)","Digital","N",191,"A - Adequado",1,338
"A","Textos e elementos não textuais linguísticos relev...",48365,"Agenda Digital Escola em Movimento (1304)","Digital","N",250,"A - Adequado",1,338
"A","Textos e elementos não textuais linguísticos relev...",48365,"Agenda Digital Escola em Movimento (1304)","Digital","S",522,"A - Adequado",1,338
"A","Todas as funcionalidades relevantes aos objetivos ...",48309,"Agenda Digital Escola em Movimento (1304)","Digital","N",250,"A - Adequado",1,336
"A","Todas as funcionalidades relevantes aos objetivos ...",48309,"Agenda Digital Escola em Movimento (1304)","Digital","N",191,"A - Adequado",1,336
"A","Todas as funcionalidades relevantes aos objetivos ...",48309,"Agenda Digital Escola em Movimento (1304)","Digital","S",522,"A - Adequado",1,336
"A","4.3.1.a",48272,"Agenda Digital Escola em Movimento (1304)","Digital","N",250,"P - Parcialmente adequado",1,107
"A","4.3.1.a",48272,"Agenda Digital Escola em Movimento (1304)","Digital","N",191,"A - Adequado",1,107
"A","4.3.1.a",48272,"Agenda Digital Escola em Movimento (1304)","Digital","S",522,"A - Adequado",1,107
"A","4.3.2.a",48276,"Agenda Digital Escola em Movimento (1304)","Digital","N",191,"A - Adequado",1,108
"A","4.3.2.a",48276,"Agenda Digital Escola em Movimento (1304)","Digital","N",250,"A - Adequado",1,108
"A","4.3.2.a",48276,"Agenda Digital Escola em Movimento (1304)","Digital","S",522,"A - Adequado",1,108
"A","4.3.3.b",48203,"Agenda Digital Escola em Movimento (1304)","Digital","N",191,"A - Adequado",1,109
"A","4.3.3.b",48203,"Agenda Digital Escola em Movimento (1304)","Digital","N",250,"A - Adequado",1,109
"A","4.3.3.b",48203,"Agenda Digital Escola em Movimento (1304)","Digital","S",522,"A - Adequado",1,109
"A","4.3.4.b",48319,"Agenda Digital Escola em Movimento (1304)","Digital","N",191,"P - Parcialmente adequado",1,337
"A","4.3.4.b",48319,"Agenda Digital Escola em Movimento (1304)","Digital","N",250,"A - Adequado",1,337
"A","4.3.4.b",48319,"Agenda Digital Escola em Movimento (1304)","Digital","S",522,"A - Adequado",1,337
"A","4.3.5.a",48215,"Agenda Digital Escola em Movimento (1304)","Digital","N",191,"A - Adequado",1,339
"A","4.3.5.a",48215,"Agenda Digital Escola em Movimento (1304)","Digital","N",250,"P - Parcialmente adequado",1,339
"A","4.3.5.a",48215,"Agenda Digital Escola em Movimento (1304)","Digital","S",522,"A - Adequado",1,339
"A","4.3.5.d",48346,"Agenda Digital Escola em Movimento (1304)","Digital","N",191,"A - Adequado",1,340
"A","4.3.5.d",48346,"Agenda Digital Escola em Movimento (1304)","Digital","N",250,"P - Parcialmente adequado",1,340
"A","4.3.5.d",48346,"Agenda Digital Escola em Movimento (1304)","Digital","S",522,"A - Adequado",1,340
"E","3.8.1.1.a",48320,"Agenda Digital Escola em Movimento (1304)","Digital","N",188,"I - Inadequado",1,31
"E","3.8.1.1.a",48320,"Agenda Digital Escola em Movimento (1304)","Digital","N",243,"I - Inadequado",1,31
"E","3.8.1.1.a",48320,"Agenda Digital Escola em Movimento (1304)","Digital","S",1041,"I - Inadequado",1,31
"E","3.8.1.1.b",48207,"Agenda Digital Escola em Movimento (1304)","Digital","N",243,"I - Inadequado",1,36
"E","3.8.1.1.b",48207,"Agenda Digital Escola em Movimento (1304)","Digital","N",188,"I - Inadequado",1,36
"E","3.8.1.1.b",48207,"Agenda Digital Escola em Movimento (1304)","Digital","S",1041,"I - Inadequado",1,36
"E","3.8.1.1.c",48356,"Agenda Digital Escola em Movimento (1304)","Digital","N",188,"I - Inadequado",1,34
"E","3.8.1.1.c",48356,"Agenda Digital Escola em Movimento (1304)","Digital","N",243,"I - Inadequado",1,34
"E","3.8.1.1.c",48356,"Agenda Digital Escola em Movimento (1304)","Digital","S",1041,"I - Inadequado",1,34
"E","3.8.1.2.a",48334,"Agenda Digital Escola em Movimento (1304)","Digital","N",188,"I - Inadequado",1,39
"E","3.8.1.2.a",48334,"Agenda Digital Escola em Movimento (1304)","Digital","N",243,"A - Adequado",1,39
"E","3.8.1.2.a",48334,"Agenda Digital Escola em Movimento (1304)","Digital","S",1041,"A - Adequado",1,39
"E","3.8.1.3.a",48283,"Agenda Digital Escola em Movimento (1304)","Digital","N",243,"A - Adequado",1,40
"E","3.8.1.3.a",48283,"Agenda Digital Escola em Movimento (1304)","Digital","N",188,"P - Parcialmente adequado",1,40
"E","3.8.1.3.a",48283,"Agenda Digital Escola em Movimento (1304)","Digital","S",1041,"A - Adequado",1,40
"E","3.8.1.3.b",48292,"Agenda Digital Escola em Movimento (1304)","Digital","N",188,"P - Parcialmente adequado",1,42
"E","3.8.1.3.b",48292,"Agenda Digital Escola em Movimento (1304)","Digital","N",243,"A - Adequado",1,42
"E","3.8.1.3.b",48292,"Agenda Digital Escola em Movimento (1304)","Digital","S",1041,"A - Adequado",1,42
"E","3.8.1.4.a",48341,"Agenda Digital Escola em Movimento (1304)","Digital","N",188,"I - Inadequado",1,45
"E","3.8.1.4.a",48341,"Agenda Digital Escola em Movimento (1304)","Digital","N",243,"I - Inadequado",1,45
"E","3.8.1.4.a",48341,"Agenda Digital Escola em Movimento (1304)","Digital","S",1041,"I - Inadequado",1,45
"E","3.8.1.4.b",48313,"Agenda Digital Escola em Movimento (1304)","Digital","N",188,"I - Inadequado",1,44
"E","3.8.1.4.b",48313,"Agenda Digital Escola em Movimento (1304)","Digital","N",243,"I - Inadequado",1,44
"E","3.8.1.4.b",48313,"Agenda Digital Escola em Movimento (1304)","Digital","S",1041,"I - Inadequado",1,44
"E","3.8.2.1.a",48228,"Agenda Digital Escola em Movimento (1304)","Digital","N",243,"I - Inadequado",1,47
"E","3.8.2.1.a",48228,"Agenda Digital Escola em Movimento (1304)","Digital","N",188,"I - Inadequado",1,47
"E","3.8.2.1.a",48228,"Agenda Digital Escola em Movimento (1304)","Digital","S",1041,"I - Inadequado",1,47
"E","3.8.2.2.a",48306,"Agenda Digital Escola em Movimento (1304)","Digital","N",188,"I - Inadequado",1,50
"E","3.8.2.2.a",48306,"Agenda Digital Escola em Movimento (1304)","Digital","N",243,"I - Inadequado",1,50
"E","3.8.2.2.a",48306,"Agenda Digital Escola em Movimento (1304)","Digital","S",1041,"I - Inadequado",1,50
