Cód. Critério,Cód. Evidência,Cód. Avaliador,Avaliação consolidadora?,Avaliação da Evidência,Evidência,Cód. Tecnologia,Tipo de Tecnologia,Cód. Ciclo,Ciclo,Cód. Item Edital,Critério,Dimensão
30,36845,203,S,A - Adequado,1527284376-evidencia_MEC_COEDE.pdf,941,Digital,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,38474,1423,N,A - Adequado,1527290061-Guia de Orientação Didática - Educação Especial - alinhamento BNCC.pdf,967,Física,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,59610,1662,N,A - Adequado,1532833763-4-2.1.1-completude.pdf,1924,Física,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,57043,1661,N,A - Adequado,1534294514-Guia_OM_EF2.pdf,1764,Física,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,37327,402,S,P - Parcialmente adequado,1527286601-guia_orientacoes_didaticas.pdf,943,Digital,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,67638,402,N,A - Adequado,1534546368-2.8 Evidencias Tecnologicas e Educacionais.pdf,2464,Digital,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,57043,434,N,A - Adequado,1534294514-Guia_OM_EF2.pdf,1764,Física,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,43580,203,S,P - Parcialmente adequado,1528367939-fhf_dragonlearn_211_atoreseducacionais_tecnologia.pdf,1107,Digital,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,56143,1661,N,A - Adequado,1532965336-Guia_OM_EF1.pdf,1684,Física,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,64928,228,N,A - Adequado,1534373960-Atestado - Projeto Costa Manso.pdf,2304,Digital,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,50708,1662,S,A - Adequado,1528417079-Guia de Orientações Didáticas.PDF,1346,Digital,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,62474,1662,N,A - Adequado,1534533288-4 - objetivos educacionais - EF1.pdf,2085,Física,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,66882,1721,S,I - Inadequado,1534528147-Atestado - Itapetininga.pdf,2444,Digital,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,50708,1441,N,A - Adequado,1528417079-Guia de Orientações Didáticas.PDF,1346,Digital,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,62474,434,N,P - Parcialmente adequado,1534533288-4 - objetivos educacionais - EF1.pdf,2085,Física,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,50052,402,N,P - Parcialmente adequado,1528405422-Parecer Colégio Agostiniano Mendel.pdf,1332,Digital,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,43580,236,N,P - Parcialmente adequado,1528367939-fhf_dragonlearn_211_atoreseducacionais_tecnologia.pdf,1107,Digital,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,49810,236,N,A - Adequado,1528406874-TEC_211_A.pdf,1331,Digital,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,37022,1423,N,A - Adequado,1527284649-Guia de Orientação Didática - Anos Iniciais - Alinhamento com a BNCC.pdf,942,Física,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,48265,1582,S,A - Adequado,1528422308-4.Crite?rios Tecnolo?gicos.pdf,1304,Digital,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,36845,236,N,A - Adequado,1527284376-evidencia_MEC_COEDE.pdf,941,Digital,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,49564,228,N,A - Adequado,1529070023-Guia de Orientações Didáticas - Programa Astromaker.pdf,1330,Digital,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
30,67638,1721,N,I - Inadequado,1534546368-2.8 Evidencias Tecnologicas e Educacionais.pdf,2464,Digital,1,Ciclo 1,2.1.1.a,Descrever se as funcionalidades da tecnologia cobr...,Tecnológica
