"Cód. Critério","Cód. Item Edital","Critério","Dimensão"
30,"2.1.1.a","Descrever se as funcionalidades da tecnologia cobr...","Tecnológica"
32,"2.1.1.b","Indicar se as funcionalidades da tecnologia foram ...","Tecnológica"
33,"2.1.2.b","Indicar se foram realizados testes para verificar ...","Tecnológica"
35,"2.1.2.a","Explicitar se a tecnologia utilizada é indicada fa...","Tecnológica"
37,"2.1.3.a","Apresentar quais são as evidências que demonstram ...","Tecnológica"
38,"2.1.3.b","Indicar se existe documentação detalhada que permi...","Tecnológica"
41,"2.2.1.b","Informar se a tecnologia pode ser facilmente utili...","Tecnológica"
43,"2.2.1.a","Detalhar qual a adaptação necessária no ambiente e...","Tecnológica"
46,"2.2.2.a","Descrever se a tecnologia permite o compartilhamen...","Tecnológica"
48,"2.2.2.b","Explicitar se é possível extrair os dados da tecno...","Tecnológica"
49,"2.8.a","Este critério deve explicitar como foram realizado...","Tecnológica"
52,"2.3.1.a","Descrever se foram realizadas avaliações periódica...","Tecnológica"
53,"2.7.2.a","Detalhar se existem mecanismos que previnem e dete...","Tecnológica"
54,"2.3.1.b","Informar se foi realizada alguma análise de maturi...","Tecnológica"
55,"2.7.1.a","Descrever como os dados coletados pela tecnologia ...","Tecnológica"
57,"2.3.2.a","Explicitar se existem uma documentação detalhada s...","Tecnológica"
59,"2.3.2.b","Indicar qual o grau de disponibilidade de uso da t...","Tecnológica"
61,"2.6.3.a","Detalhar se a tecnologia proposta pode substituir ...","Tecnológica"
62,"2.3.3.a","Apresentar se existem funcionalidades na tecnologi...","Tecnológica"
63,"2.6.3.b","Indicar se a tecnologia proposta pode substituir u...","Tecnológica"
65,"2.3.3.b","Informar se foram desenvolvidos estudos para ident...","Tecnológica"
66,"2.6.2.b","Informar quão difícil é instalar a tecnologia no a...","Tecnológica"
67,"2.3.4.a","Descrever se em caso de falhas, existem funcionali...","Tecnológica"
69,"2.6.2.a","Descrever quais conhecimentos e infraestrutura nec...","Tecnológica"
70,"2.4.1.a","Explicitar se foram realizados estudos sobre a fac...","Tecnológica"
71,"2.6.1.a","Descrever se a tecnologia pode ser utilizada ou ad...","Tecnológica"
72,"2.4.1.b","Indicar se o tempo de esperar entre uma ação e o f...","Tecnológica"
74,"2.6.1.b","Explicitar se a tecnologia pode ser facilmente ada...","Tecnológica"
75,"2.4.2.b","Informar se foi realizado algum estudo para verifi...","Tecnológica"
77,"2.4.2.a","Indicar quais as necessidades de expansão de uso d...","Tecnológica"
78,"2.5.5.b","Informar se a tecnologia permite realizar testes d...","Tecnológica"
79,"2.4.3.a","Descrever se a tecnologia possui capacidade de ser...","Tecnológica"
80,"2.5.5.a","Indicar se existem formas eficazes de identificar ...","Tecnológica"
81,"2.5.1.b","Informar se a arquitetura utilizada pela tecnologi...","Tecnológica"
82,"2.5.4.a","Detalhar se a tecnologia educacional pode ser modi...","Tecnológica"
83,"2.5.1.a","Descrever se o conteúdo desenvolvido na plataforma...","Tecnológica"
84,"2.5.2.a","Indicar se a tecnologia viabiliza a reusabilidade ...","Tecnológica"
85,"2.5.3.b","Explicitar se a tecnologia permite visualizar os d...","Tecnológica"
86,"2.5.3.a","Descrever se a tecnologia possui mecanismos para u...","Tecnológica"
301,"2.7.1.b","Indicar se a tecnologia possui mecanismos para que...","Tecnológica"
31,"3.8.1.1.a","Apresentar se o texto escrito ou oral que apresent...","Educacional"
34,"3.8.1.1.c","Indicar se o conteúdo educacional disponível foi t...","Educacional"
36,"3.8.1.1.b","Explicitar se foi realizada uma análise sobre o ní...","Educacional"
39,"3.8.1.2.a","Indicar se a tecnologia oferece ao usuário mais de...","Educacional"
40,"3.8.1.3.a","Descrever quão aderente o conteúdo é em relação à ...","Educacional"
42,"3.8.1.3.b","Explicitar como as funcionalidades da tecnologia a...","Educacional"
44,"3.8.1.4.b","Informar se o conteúdo apresentado possui material...","Educacional"
45,"3.8.1.4.a","Apresentar se o conteúdo apresentado possui materi...","Educacional"
47,"3.8.2.1.a","Descrever se o conteúdo foi desenvolvido considera...","Educacional"
50,"3.8.2.2.a","Descrever se a apresentação do conteúdo e das func...","Educacional"
51,"3.8.2.3.a","Descrever se o conteúdo foi adequadamente organiza...","Educacional"
56,"3.8.2.4.a","Explicitar se o conteúdo e funcionalidades podem s...","Educacional"
60,"3.8.3.1.a","Descrever se a tecnologia permite adaptar ou perso...","Educacional"
64,"3.8.3.1.b","Indicar quais são as evidências que demonstram que...","Educacional"
68,"3.8.3.2.a","Orientar se o conteúdo e funcionalidades foram pre...","Educacional"
73,"3.8.3.3.b","Indicar se existem funcionalidades que aumentem o ...","Educacional"
76,"3.8.3.3.a","Apresentar se a tecnologia foi desenvolvida de for...","Educacional"
87,"3.8.3.4.a","Descrever se a tecnologia permite que os alunos ex...","Educacional"
88,"3.8.4.1.a","Indicar se existe processo para verificação de err...","Educacional"
89,"3.8.4.2.a","Orientar se o conteúdo pode ser reutilizado com ou...","Educacional"
90,"3.8.5.1.b","Indicar se a tecnologia permite acompanhar as ativ...","Educacional"
91,"3.8.5.1.a","Descrever se existem funcionalidades para ajudar o...","Educacional"
92,"3.8.5.2.c","Orientar quais dados e métodos foram utilizados pa...","Educacional"
93,"3.8.5.2.b","Apresentar se existem evidências que demonstram be...","Educacional"
94,"3.8.5.3.b","Indicar se a tecnologia permite realizar avaliaçõe...","Educacional"
95,"3.8.5.3.a","Descrever se a tecnologia permite avaliar a evoluç...","Educacional"
96,"3.8.5.4.a","Orientar se a tecnologia tem como pressuposto uma ...","Educacional"
97,"3.8.6.1.a","Informar se são oferecidas ao professor informaçõe...","Educacional"
98,"3.8.6.2.a","Descrever se existem orientações para utilizar a t...","Educacional"
99,"3.8.6.3.a","Explicitar se a tecnologia possui recursos (funcio...","Educacional"
100,"3.8.6.4.a","Indicar se existem planos de aula desenvolvidos e ...","Educacional"
101,"3.8.7.1.a","Informar se são oferecidas ao aluno informações pr...","Educacional"
102,"3.8.7.2.a","Descrever se existem orientações para utilizar a t...","Educacional"
103,"3.8.7.3.a","Explicitar se a tecnologia possui recursos (funcio...","Educacional"
104,"3.8.7.4.a","Indicar se existem planos de aula desenvolvidos e ...","Educacional"
105,"3.8.8.1.a","Informar se são oferecidas ao gestor informações p...","Educacional"
106,"3.8.8.2.a","Descrever se existem orientações para utilizar a t...","Educacional"
112,"4.1.1.d","O aprimoramento da qualificação dos professores da...","Educacional"
113,"4.1.1.e","O desenvolvimento intelectual e profissional dos p...","Educacional"
114,"4.1.1.f","O diálogo e a articulação com a prática pedagógica...","Educacional"
115,"4.1.1.g","O favorecimento à reflexão do coletivo de professo...","Educacional"
117,"4.1.1.a","A perspectiva orientada para a realização dos dire...","Educacional"
118,"4.1.1.c","Articulação entre que os objetivos de aprendizagem...","Educacional"
119,"4.1.1.b","A valorização do saber e do fazer do professor....","Educacional"
120,"4.2.1.c","O aprimoramento da qualificação dos profissionais ...","Educacional"
121,"4.2.1.d","O desenvolvimento intelectual e profissional dos p...","Educacional"
122,"4.2.1.b","A valorização do saber e do fazer dos profissionai...","Educacional"
123,"4.2.1.e","O diálogo e a articulação da atuação desses profis...","Educacional"
124,"4.2.1.f","O favorecimento da atuação desses profissionais na...","Educacional"
125,"4.2.1.a","A perspectiva orientada para a realização dos dire...","Educacional"
126,"4.3.1.i","Fortalecimento dos processos e práticas de gestão ...","Educacional"
127,"4.3.1.e","Contribuição para melhoria da qualidade do ensino...","Educacional"
128,"4.3.1.a","Adequação e coerência dos instrumentos e processos...","Educacional"
129,"4.3.1.b","Atendimento à diversidade e pluralidade das difere...","Educacional"
130,"4.3.1.d","Consistência nos processos de levantamento de dado...","Educacional"
131,"4.3.1.c","Capacidade de promoção e implementação de novas pr...","Educacional"
132,"4.3.1.g","Favorecimento à desburocratização, transparência e...","Educacional"
133,"4.3.1.h","Fortalecimento da autonomia e do projeto político ...","Educacional"
134,"4.3.1.f","Educação para a democracia e cidadania, como press...","Educacional"
135,"4.3.1.l","Valorização dos profissionais da educação, docente...","Educacional"
136,"4.3.1.j","Implantação de plano de carreira, cargos e salário...","Educacional"
137,"4.3.1.k","Participação dos conselhos de educação na elaboraç...","Educacional"
138,"4.4.1.h","Modernização da qualidade dos processos de organiz...","Educacional"
139,"4.4.1.a","Democratização da gestão da escola (ampliação da p...","Educacional"
140,"4.4.1.i","Participação da comunidade na elaboração, implemen...","Educacional"
141,"4.4.1.g","Melhoria do planejamento da unidade educativa como...","Educacional"
142,"4.4.1.c","Desenvolvimento de processos de gestão que assegur...","Educacional"
143,"4.4.1.e","Incorporação ao núcleo gestor da unidade de ensino...","Educacional"
144,"4.4.1.d","Educação para a democracia e cidadania como pressu...","Educacional"
145,"4.4.1.b","Desenvolvimento de critérios combinados com mecani...","Educacional"
