"Cód. Evidência","Evidência","Cód. Tecnologia","Tipo de Tecnologia","Cód. Ciclo","Ciclo"
11152,"1522946798-Visão do episódio.pdf",176,"Digital",1,"Ciclo 1"
11153,"1522950325-Áudio no episódio.pdf",176,"Digital",1,"Ciclo 1"
11155,"1522946885-Visão do episódio.pdf",176,"Digital",1,"Ciclo 1"
11156,"1522867944-Informação da Tecnologia Matific.pdf",176,"Digital",1,"Ciclo 1"
11157,"1522950466-Áudio no episódio.pdf",176,"Digital",1,"Ciclo 1"
11158,"1522862970-Estudo Western Sidney University - PDF.pdf",176,"Digital",1,"Ciclo 1"
11159,"1522860727-Estudo Western Sidney University - PDF.pdf",176,"Digital",1,"Ciclo 1"
11160,"1522866733-Cópia de Resultados EE Henrique Dumont Villares.pdf",176,"Digital",1,"Ciclo 1"
11161,"1522876019-A Abordagem Matific à Pedagogia e ao Engajamento.pdf",176,"Digital",1,"Ciclo 1"
11162,"1522872547-Informação da Tecnologia Matific.pdf",176,"Digital",1,"Ciclo 1"
11163,"1522951637-A Abordagem Matific à Pedagogia e ao Engajamento.pdf",176,"Digital",1,"Ciclo 1"
11166,"1522955140-COmo tratamos o erro.pdf",176,"Digital",1,"Ciclo 1"
11167,"1522852130-Escolas particulraes em uso - Matific.pdf",176,"Digital",1,"Ciclo 1"
11168,"1522957973-Tipos variados de atividades.pdf",176,"Digital",1,"Ciclo 1"
11169,"1522947079-Áudio no episódio.pdf",176,"Digital",1,"Ciclo 1"
11170,"1522876654-A Abordagem Matific à Pedagogia e ao Engajamento.pdf",176,"Digital",1,"Ciclo 1"
11172,"1522956521-A Abordagem Matific à Pedagogia e ao Engajamento.pdf",176,"Digital",1,"Ciclo 1"
11173,"1522875492-A Abordagem Matific à Pedagogia e ao Engajamento.pdf",176,"Digital",1,"Ciclo 1"
11174,"1522871975-Informação da Tecnologia Matific.pdf",176,"Digital",1,"Ciclo 1"
11176,"1522880365-A Abordagem Matific à Pedagogia e ao Engajamento.pdf",176,"Digital",1,"Ciclo 1"
11177,"1522878430-Pàgina de recursos - Matific.pdf",176,"Digital",1,"Ciclo 1"
11178,"1522957630-A Abordagem Matific à Pedagogia e ao Engajamento.pdf",176,"Digital",1,"Ciclo 1"
11180,"1522878134-Plano de aula da Matific - Razões e Tabelas - 5 ano.pdf",176,"Digital",1,"Ciclo 1"
11181,"1522864344-Integração Google e Microsoft.pdf",176,"Digital",1,"Ciclo 1"
11182,"1522868462-Informação da Tecnologia Matific.pdf",176,"Digital",1,"Ciclo 1"
