"Cód. Evidência","Evidência","Cód. Tecnologia","Tecnologia","Tipo de Tecnologia","Cód. Ciclo","Ciclo","Cód. Critério"
47790,"1548792562-TROUBLESHOOT OBS GERAIS.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",340
47795,"1548760777-Manual de usuário - Passo a passo - Avaliação Coruja 2.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",82
47796,"1548794354-Guia Orientações Didáticas com ISBN - Coruja.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",333
47798,"1548691179-Versão do professor - Caderno de atividades 4o. ano LP.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",45
47800,"1548690559-Versão do professor - Caderno de atividades 4o. ano LP.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",44
47801,"1548792533-TROUBLESHOOT OBS GERAIS.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",339
47807,"1548761665-contato TI + acesso av demo.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",69
47808,"1548792112-Guia Orientações Didáticas com ISBN - Coruja.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",336
47809,"1548759261-Computadores em escolas públicas brasileiras - estudo.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",75
47810,"1548699084-Estudo estatístico - piloto Coruja Escola - rede estadual SP.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",92
47812,"1548702487-Guia Orientações Didáticas com ISBN - Coruja.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",97
47813,"1548337644-Estudo estatístico - piloto Coruja Escola - rede estadual SP.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",28
47819,"1548702000-Guia Orientações Didáticas com ISBN - Coruja.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",95
47820,"1548073885-Número de escolas e alunos avaliados - MEC.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",23
47821,"1548754338-USABILIDADE com links e imagem.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",37
47822,"1548760531-Coruja Escola - Modelos relatórios comparativos.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",85
47825,"1548760380-Estudo piloto Coruja escolas estaduais SP.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",84
47827,"1548676506-USABILIDADE com links e imagem.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",49
47828,"1548794459-Guia Orientações Didáticas com ISBN - Coruja.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",328
47829,"1548073901-Número de escolas e alunos avaliados - MEC.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",24
47831,"1548791917-Guia Orientações Didáticas com ISBN - Coruja.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",110
47833,"1548700954-Guia Orientações Didáticas com ISBN - Coruja.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",94
47834,"1548761288-Guia Orientações Didáticas com ISBN - Coruja.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",74
47836,"1548755203-Guia Orientações Didáticas com ISBN - Coruja.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",41
47838,"1548794524-Guia Orientações Didáticas com ISBN - Coruja.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",334
47840,"1548757256-Guia Orientações Didáticas com ISBN - Coruja.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",59
47841,"1548791221-Guia Orientações Didáticas com ISBN - Coruja.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",108
47844,"1548792735-Guia Orientações Didáticas com ISBN - Coruja.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",341
47848,"1548702037-Guia Orientações Didáticas com ISBN - Coruja.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",96
47850,"1548691559-Número de escolas e alunos avaliados - MEC.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",47
47851,"1548760900-Guia Orientações Didáticas com ISBN - Coruja.pdf",1265,"AVALIAÇÃO CORUJA  (1265)","Digital",61,"Ciclo 2",71
