Ciclo,Região,Estado,Cidade,Núm. de participantes
Ciclo 1,Centro-Oeste,DF,Brasília,1
Ciclo 1,Centro-Oeste,GO,Goiânia,1
Ciclo 1,Centro-Oeste,MS,Dourados,1
Ciclo 1,Nordeste,AL,Maceió,5
Ciclo 1,Nordeste,AL,Penedo,1
Ciclo 1,Nordeste,BA,Feira de Santana,2
Ciclo 1,Nordeste,BA,Jequié,1
Ciclo 1,Nordeste,BA,Salvador,3
Ciclo 1,Nordeste,CE,Caucaia,1
Ciclo 1,Nordeste,CE,Fortaleza,1
Ciclo 1,Nordeste,CE,Sobral,1
Ciclo 1,Nordeste,PB,Cabedelo,1
Ciclo 1,Nordeste,PB,João Pessoa,1
Ciclo 1,Nordeste,PE,Recife,1
Ciclo 1,Nordeste,PE,Salgueiro,1
Ciclo 1,Nordeste,SE,Aracaju,1
Ciclo 1,Sudeste,MG,Itabira,1
Ciclo 1,Sudeste,PR,Curitiba,6
Ciclo 1,Sudeste,PR,Londrina,1
Ciclo 1,Sudeste,PR,Paranavaí,1
Ciclo 1,Sudeste,RJ,Rio de Janeiro,2
Ciclo 1,Sudeste,SC,Araranguá,1
Ciclo 1,Sudeste,SC,Florianópolis,2
Ciclo 1,Sudeste,SC,Gaspar,1
Ciclo 1,Sudeste,SC,Tubarão,1
Ciclo 1,Sudeste,SP,Americana,1
Ciclo 1,Sudeste,SP,Atibaia,1
Ciclo 1,Sudeste,SP,Campinas,1
Ciclo 1,Sudeste,SP,São Carlos,2
Ciclo 1,Sudeste,SP,São Paulo,6
Ciclo 1,Sudeste,SP,São Sebastião,1
Ciclo 1,NA,NA,NA,4
